t,x,y
0.0,1.0,2.0
0.10526315789473684,1.1110029410844708,1.9056329099206244
0.21052631578947367,1.2343275350983443,1.8324003699478122
0.3157894736842105,1.3713415217558058,1.7794901896657556
0.42105263157894735,1.523564463901954,1.7463155651572375
0.5263157894736842,1.692684600326856,1.7325085710152757
0.631578947368421,1.8805775692915292,1.7379160798416207
0.7368421052631579,2.089327210420374,1.7625980639770351
0.8421052631578947,2.3212486756648487,1.8068282606285773
0.9473684210526315,2.57891410565208,1.8710972077705275
1.0526315789473684,2.8651811561836884,1.9561176844888242
1.1578947368421053,3.1832246912598827,2.062832616105513
1.263157894736842,3.5365719941224363,2.1924255317555232
1.3684210526315788,3.929141886826998,2.346333690396234
1.4736842105263157,4.365288192202982,2.5262640208247227
1.5789473684210527,4.849848020218827,2.734212052486527
1.6842105263157894,5.388195414275814,2.9724840470293312
1.789473684210526,5.986300952398287,3.24372257605307
1.894736842105263,6.650797964331267,3.5509358287281985
2.0,7.38905609893065,3.897530974320244
